Player Name,Position,Team,Twitter Handle,Twitch User Name,League Accounts,,
Ssumday,TOP,100 Thieves,Ssumday,ssumday,Ssumdayday,,
Meteos,JUNGLE,100 Thieves,MeteosLoL,meteos,Meteos,,
Ryoma,MID,100 Thieves,Ryoma100T,RyomaOCE,100 Ryoma,,
Cody Sun,ADC,100 Thieves,CodySun,codysun,Cody Pog,,
Stunt,SUPPORT,100 Thieves,stuntopolis,stunt,stuntopolis,5tunt,
FakeGod,TOP,100 Thieves Academy,FakeGod,FakeGod,,,
Contractz,JUNGLE,100 Thieves Academy,Contractz,contractzlol,,,
Soligo,MID,100 Thieves Academy,Soligoms,soligo,First Kyu,Soligo,
Prismal,ADC,100 Thieves Academy,Prismal,prismal,100 Prismal,,
Breezyyy,SUPPORT,100 Thieves Academy,breezyyylol,breezyyyiol,Breezyyy,,
Licorice,TOP,Cloud9,Licorice,licoricelol,1v9 Ezreal NA,,
Blaber,JUNGLE,Cloud9,blaber,blaber,blaberfish2,,
Nisqy,MID,Cloud9,Nisqylol,nisqyy,Kral Nisqy,,
Zven,ADC,Cloud9,Zven,c9zven,C9 ZVENNN,C9 Zven,
Vulcan,SUPPORT,Cloud9,VulcanLoL,vulcan_lol,C9 VULCANNN,C9 Vulcan,
Fudge,TOP,Cloud9 Academy,Fudgecakey,UNKNOWN,SANDBOX Summit,,
Inori,JUNGLE,Cloud9 Academy,Inorilol,inori,,,
Palafox,MID,Cloud9 Academy,palafoxlol,UNKNOWN,Palafox,,
k1ng,ADC,Cloud9 Academy,k1ngYB,k1ngyb,,,
Diamond,SUPPORT,Cloud9 Academy,C9Diamond,diamond,C9 Diamond,,
Ruin,TOP,Counter Logic Gaming,ruin_lol,UNKNOWN,haburu24,,
Wiggily,JUNGLE,Counter Logic Gaming,lol_Wiggily,UNKNOWN,mn 97,,
Pobelter,MID,Counter Logic Gaming,Pobelter,pobelter,Uma Jan pupil,Pobelter,
Stixxay,ADC,Counter Logic Gaming,Stixxay,stixxay,Stixxay,,
Smoothie,SUPPORT,Counter Logic Gaming,Smoothie,smoothie,Smoothie,,
Deus,TOP,Counter Logic Gaming Academy,Deus1v1,Deus1v1,q1q2q3q4,,
Fragas,JUNGLE,Counter Logic Gaming Academy,UNKNOWN,UNKNOWN,,,
Tuesday,MID,Counter Logic Gaming Academy,Tuesday_lol,CLGTuesday,,,
Wind,ADC,Counter Logic Gaming Academy,CLG_Wind,UNKNOWN,,,
Fill,SUPPORT,Counter Logic Gaming Academy,UNKNOWN,UNKNOWN,,,
UNKNOWN,TOP,Dignitas,UNKNOWN,UNKNOWN,,,
UNKNOWN,JUNGLE,Dignitas,UNKNOWN,UNKNOWN,,,
Froggen,MID,Dignitas,Froggen,froggen,Froggen,,
Johnsun,ADC,Dignitas,Johnsun_lol,johnsunlol,JOHNSUNNY,John5un,
Aphromoo,SUPPORT,Dignitas,aphromoo,aphromoo,aphromoo,,
Lourlo,TOP,Dignitas Academy,Lourlo,lourlo,year off lourlo,,
Akaadian,JUNGLE,Dignitas Academy,Akaadian,akaadian,Chad Jungle,johnnybrav0o,
Damonte,MID,Dignitas Academy,Damonte,damonte,,,
Fenix,ADC,Dignitas Academy,Midfenix,fenixl0l,Dig FeniX,Fênîx,
Olleh,SUPPORT,Dignitas Academy,Olleh,olleh,,,
Kumo,TOP,Evil Geniuses,KumoLoL,kumo,Kumo9,,
Svenskeren,JUNGLE,Evil Geniuses,Svenskeren1,svenskeren,AlessandroSanti,,
Jiizuke,MID,Evil Geniuses,JiizukeLoL,jiizuke,,,
Bang,ADC,Evil Geniuses,Bang,bang,EG Bae,EG Junsik,
Zeyzal,SUPPORT,Evil Geniuses,Zeyzal,zeyzal,,,
Brandini,TOP,Evil Geniuses Academy,Brandini,Brandini,Brandini,,
AnDa,JUNGLE,Evil Geniuses Academy,AnDa,AnDa,AnDa,,
Giyuu,MID,Evil Geniuses Academy,Giyuu_lol,giyuu_lol,,,
Deftly,ADC,Evil Geniuses Academy,deftlylol,deftly,,,
Matt,SUPPORT,Evil Geniuses Academy,mattelento,matlife_na,EG Matt,,
Solo,TOP,FlyQuest,SoloLCS,sololcs,fox solo,flyq solo,
Santorin,JUNGLE,FlyQuest,Santorin,Santorin,Santorin,,
PowerOfEvil,MID,FlyQuest,PowerOfEvilLoL,powerofevillol,FlowerOfEvil,,
Wildturtle,ADC,FlyQuest,WildTurtle,wildturtle,WildTurtle,,
IgNar,SUPPORT,FlyQuest,IgNarLoL,ignarlol,Flyquest 1gNar,,
Revenge,TOP,FlyQuest Academy,Revengeleague,flyqrevenge,Revenge FLY,Revenge,
