Player Name,Position,Team,Twitter Handle,Twitch Name,League Accounts,,
Ssumday,TOP,100 Thieves,Ssumday,ssumday,Ssumdayday,,
Meteos,JUNGLE,100 Thieves,MeteosLoL,meteos,Meteos,,
Ryoma,MID,100 Thieves,Ryoma100T,ryomaoce,,,
Cody Sun,ADC,100 Thieves,CodySun,codysun,Cody Pog,,
Stunt,SUPPORT,100 Thieves,stuntopolis,stunt,stuntopolis,5tunt,
FakeGod,TOP,100 Thieves Academy,FakeGod,fakegod,Soligo,,
Contractz,JUNGLE,100 Thieves Academy,Contractz,contractzlol,,,
Soligo,MID,100 Thieves Academy,Soligoms,soligo,First Kyu,,
Prismal,ADC,100 Thieves Academy,Prismal,prismal,100 Prismal,,
Breezyyy,SUPPORT,100 Thieves Academy,breezyyylol,breezyyyIol,Breezyyy,,
Poome,SUPPORT,100 Thieves Academy,poomelol,poome,100 Poome,,
Licorice,TOP,Cloud9,Licorice,licoricelol,Licorice,,
Blaber,JUNGLE,Cloud9,blaber,blaber,blaberfish2,,
Nisqy,MID,Cloud9,Nisqylol,nisqyy,Kral Nisqy,C9C9C9C9C9,
Zven,ADC,Cloud9,Zven,c9zven,C9 ZVENNN,C9 Zven,
Vulcan,SUPPORT,Cloud9,VulcanLoL,vulcan_lol,C9 VULCANNN,C9 Vulcan,
Fudge,TOP,Cloud9 Academy,Fudgecakey,-,SANDBOX Summit,,
Inori,JUNGLE,Cloud9 Academy,Inorilol,inori,,,
Palafox,MID,Cloud9 Academy,palafoxlol,-,Palafox,,
k1ng,ADC,Cloud9 Academy,k1ngYB,k1ngyb,,,
Tomo,ADC,Cloud9 Academy,lolTomo12,-,Tomo9,,
Diamond,SUPPORT,Cloud9 Academy,C9Diamond,diamond,C9 Diamond,,
Ruin,TOP,Counter Logic Gaming,ruin_lol,-,haburu24,,
Wiggily,JUNGLE,Counter Logic Gaming,lol_Wiggily,-,mn 97,,
Pobelter,MID,Counter Logic Gaming,Pobelter,pobelter,Uma Jan pupil,Pobelter,
Stixxay,ADC,Counter Logic Gaming,Stixxay,stixxay,Stixxay,,
Smoothie,SUPPORT,Counter Logic Gaming,Smoothie,smoothie,Smoothie,,
Deus,TOP,Counter Logic Gaming Academy,Deus1v1,deus1v1,,,
Fragas,JUNGLE,Counter Logic Gaming Academy,-,-,,,
Tuesday,MID,Counter Logic Gaming Academy,Tuesday_lol,clgtuesday,Tuesdayy,,
Wind,ADC,Counter Logic Gaming Academy,CLG_Wind,-,Myeongjin NA,,
Fill,SUPPORT,Counter Logic Gaming Academy,-,-,,,
V1per,TOP,Dignitas,hiitsviper,viper,V1per1,,
Akaadian,JUNGLE,Dignitas,Akaadian,akaadian,Chad Jungle,johnnybrav0o,
Froggen,MID,Dignitas,Froggen,froggen,Froggen,,
Johnsun,ADC,Dignitas,Johnsun_lol,johnsunlol,JOHNSUNNY,John5un,
Aphromoo,SUPPORT,Dignitas,aphromoo,aphromoo,aphromoo,,
Lourlo,TOP,Dignitas Academy,Lourlo,lourlo,year of lourlo,,
Dardoch,JUNGLE,Dignitas Academy,Dardoch,dardoch,,,
Fenix,MID,Dignitas Academy,Midfenix,fenixl0l,Dig FeniX,Fênîx,
Asta,ADC,Dignitas Academy,ukpneo,-,,,
JayJ,SUPPORT,Dignitas Academy,JayJLoL,jayjlol,TwiTv JayJLoL,,
Kumo,TOP,Evil Geniuses,KumoLoL,kumo,Kumo9,,
Svenskeren,JUNGLE,Evil Geniuses,Svenskeren1,svenskeren,EG Sven,,
Jiizuke,MID,Evil Geniuses,JiizukeLoL,jiizuke,,,
Bang,ADC,Evil Geniuses,Bang,bang,EG Bae,EG Junsik,
Zeyzal,SUPPORT,Evil Geniuses,Zeyzal,zeyzal,,,
Huni,TOP,Evil Geniuses Academy,Huni,huni,,,
AnDa,JUNGLE,Evil Geniuses Academy,AnDa,anda,AnDa,,
Giyuu,MID,Evil Geniuses Academy,Giyuu_lol,giyuu_lol,,,
Deftly,ADC,Evil Geniuses Academy,deftlylol,deftly,,,
Matt,SUPPORT,Evil Geniuses Academy,mattelento,matlife_na,EG Matt,,
Solo,TOP,FlyQuest,SoloLCS,sololcs,fox solo,flyq solo,
Santorin,JUNGLE,FlyQuest,Santorin,santorin,Santorin,,
PowerOfEvil,MID,FlyQuest,PowerOfEvilLoL,powerofevillol,,,
Wildturtle,ADC,FlyQuest,WildTurtle,wildturtle,WildTurtle,,
IgNar,SUPPORT,FlyQuest,IgNarLoL,ignarlol,,,
Revenge,TOP,FlyQuest Academy,Revengeleague,flyqrevenge,Revenge FLY,Revenge,
