Player Name,Player Watch Value,Position,Team,Twitter Handle,Twitch User Name,League Accounts,,
Ssumday,1,TOP,100 Thieves,Ssumday,ssumday,Ssumdayday,,
Meteos,1,JUNGLE,100 Thieves,MeteosLoL,meteos,Meteos,,
Ryoma,1,MID,100 Thieves,Ryoma100T,RyomaOCE,100 Ryoma,,
Cody Sun,1,ADC,100 Thieves,CodySun,codysun,Cody Pog,,
Stunt,1,SUPPORT,100 Thieves,stuntopolis,stunt,stuntopolis,5tunt,
FakeGod,1,TOP,100 Thieves Academy,FakeGod,FakeGod,Soligo,,
Contractz,1,JUNGLE,100 Thieves Academy,Contractz,contractzlol,,,
Soligo,1,MID,100 Thieves Academy,Soligoms,soligo,First Kyu,,
Prismal,1,ADC,100 Thieves Academy,Prismal,prismal,100 Prismal,,
Breezyyy,1,SUPPORT,100 Thieves Academy,breezyyylol,breezyyyIol,Breezyyy,,
Licorice,1,TOP,Cloud9,Licorice,licoricelol,1v9 Ezreal NA,,
Blaber,1,JUNGLE,Cloud9,blaber,blaber,blaberfish2,Kanav2,
Nisqy,1,MID,Cloud9,Nisqylol,nisqyy,Kral Nisqy,,
Zven,1,ADC,Cloud9,Zven,c9zven,C9 ZVENNN,C9 Zven,
Vulcan,1,SUPPORT,Cloud9,VulcanLoL,vulcan_lol,C9 VULCANNN,C9 Vulcan,
Fudge,1,TOP,Cloud9 Academy,Fudgecakey,----------,SANDBOX Summit,,
Inori,1,JUNGLE,Cloud9 Academy,Inorilol,inori,,,
Palafox,1,MID,Cloud9 Academy,palafoxlol,----------,Palafox,,
k1ng,1,ADC,Cloud9 Academy,k1ngYB,k1ngyb,,,
Tomo,1,ADC,Cloud9 Academy,lolTomo12,----------,Tomo9,,
Diamond,1,SUPPORT,Cloud9 Academy,C9Diamond,diamond,C9 Diamond,,
Ruin,1,TOP,Counter Logic Gaming,ruin_lol,----------,haburu24,,
Wiggily,1,JUNGLE,Counter Logic Gaming,lol_Wiggily,----------,mn 97,,
Pobelter,1,MID,Counter Logic Gaming,Pobelter,pobelter,Uma Jan pupil,Pobelter,
Stixxay,1,ADC,Counter Logic Gaming,Stixxay,stixxay,Stixxay,,
Smoothie,1,SUPPORT,Counter Logic Gaming,Smoothie,smoothie,Smoothie,,
Deus,1,TOP,Counter Logic Gaming Academy,Deus1v1,Deus1v1,q1q2q3q4,,
Fragas,1,JUNGLE,Counter Logic Gaming Academy,----------,----------,fragas72,,
Tuesday,1,MID,Counter Logic Gaming Academy,Tuesday_lol,CLGTuesday,Tuesdayy,,
Wind,1,ADC,Counter Logic Gaming Academy,CLG_Wind,----------,Myeongjin NA,,
Fill,1,SUPPORT,Counter Logic Gaming Academy,----------,----------,,,
Froggen,1,MID,Dignitas,Froggen,froggen,Froggen,,
Johnsun,1,ADC,Dignitas,Johnsun_lol,johnsunlol,JOHNSUNNY,John5un,
Aphromoo,1,SUPPORT,Dignitas,aphromoo,aphromoo,aphromoo,,
Lourlo,1,TOP,Dignitas Academy,Lourlo,lourlo,year off lourlo,year of lourlo,
Akaadian,1,JUNGLE,Dignitas Academy,Akaadian,akaadian,Chad Jungle,johnnybrav0o,
Damonte,1,MID,Dignitas Academy,Damonte,damonte,Damonte,,
Fenix,1,ADC,Dignitas Academy,Midfenix,fenixl0l,Dig FeniX,Fênîx,
Olleh,1,SUPPORT,Dignitas Academy,Olleh,olleh,,,
Kumo,1,TOP,Evil Geniuses,KumoLoL,kumo,Kumo9,,
Svenskeren,1,JUNGLE,Evil Geniuses,Svenskeren1,svenskeren,AlessandroSanti,,
Jiizuke,1,MID,Evil Geniuses,JiizukeLoL,jiizuke,,,
Bang,1,ADC,Evil Geniuses,Bang,bang,EG Bae,EG Junsik,
Zeyzal,1,SUPPORT,Evil Geniuses,Zeyzal,zeyzal,,,
Brandini,1,TOP,Evil Geniuses Academy,Brandini,Brandini,Brandini,,
AnDa,1,JUNGLE,Evil Geniuses Academy,AnDa,AnDa,AnDa,,
Giyuu,1,MID,Evil Geniuses Academy,Giyuu_lol,giyuu_lol,,,
Deftly,1,ADC,Evil Geniuses Academy,deftlylol,deftly,,,
Matt,1,SUPPORT,Evil Geniuses Academy,mattelento,matlife_na,EG Matt,,
Solo,1,TOP,FlyQuest,SoloLCS,sololcs,fox solo,flyq solo,
V1per,1,TOP,FlyQuest,hiitsviper,Viper,V1per1,V2per1,
Santorin,1,JUNGLE,FlyQuest,Santorin,Santorin,Santorin,,
PowerOfEvil,1,MID,FlyQuest,PowerOfEvilLoL,powerofevillol,,,
Wildturtle,1,ADC,FlyQuest,WildTurtle,wildturtle,WildTurtle,,
IgNar,1,SUPPORT,FlyQuest,IgNarLoL,ignarlol,Flyquest 1gNar,,
Revenge,1,TOP,FlyQuest Academy,Revengeleague,flyqrevenge,Revenge FLY,Revenge,
Fanatiik,1,JUNGLE,FlyQuest Academy,FanatiiK_Lol,----------,Fanatiik2,FLY Fanatiik,
Triple,1,MID,FlyQuest Academy,----------,----------,FLY Triple,,
Mash,1,ADC,FlyQuest Academy,DontMashMe,----------,,,
JayJ,1,SUPPORT,FlyQuest Academy,JayJLoL,JayJLoL,TwiTv JayJLoL,,
Hauntzer,1,TOP,Golden Guardians,htzr,hauntzer,,,
Closer,1,JUNGLE,Golden Guardians,closerlol,closer,Kral Closer,GG Closer,
Goldenglue,1,MID,Golden Guardians,Goldenglue,goldenglue,goldenglue,,
FBI,1,ADC,Golden Guardians,VictorHuang,fbiadc,ADCADC123,,
Keith,1,SUPPORT,Golden Guardians,keithmcbrief,keith,,,
ZionSpartan,1,TOP,Golden Guardians Academy,DarshanU,darshan,,,
Hard,1,JUNGLE,Golden Guardians Academy,Hard,Hard,,,
Ablazeolive,1,MID,Golden Guardians Academy,Ablazeolive,Ablazeolive,Ablazeolive,,
Gorica,1,ADC,Golden Guardians Academy,GoricaLoL,gorica,Gorica,GG Gorica,
Huhi,1,SUPPORT,Golden Guardians Academy,huhi,huhi,huhi,haru dad,
sOAZ,1,TOP,Immortals,sOAZ,soazed,,,
Xmithie,1,JUNGLE,Immortals,Xmithie,xmithie,,,
Eika,1,MID,Immortals,Eikalol,eikap,lMT Eika,,
Apollo,1,ADC,Immortals,ApolloPrice,Apollo_Price,,,
Hakuho,1,SUPPORT,Immortals,Hakuho,hakuholol,Hakuho,,
Allorim,1,TOP,Immortals Academy,Allorim,allorim,Allorim,,
Potluck,1,JUNGLE,Immortals Academy,lolPotluck,lolpotluck,IMT Potluck,,
Insanity,1,MID,Immortals Academy,insanitylol,insanity,insanity,,
Altec,1,ADC,Immortals Academy,AltecLoL,altec,AltecJohnny,,
Gate,1,SUPPORT,Immortals Academy,Gate_LoL,gate_lol,,,
Impact,1,TOP,Team Liquid,Impact,tlimpact ,Liquid Impact,,
Broxah,1,JUNGLE,Team Liquid,BroxahLoL,BroxahLoL,TL Broxah,,
Jensen,1,MID,Team Liquid,Jensen,jensen,TL Jensen,,
Tactical,1,ADC,Team Liquid,Tactical,loltactical,TL Tactical,Tactical,T4ctical
CoreJJ,1,SUPPORT,Team Liquid,TLCoreJJ,corejj,From Iron,Diuqil,
Jenkins,1,TOP,Team Liquid Academy,Jenkins,bobjenkins,,,
Grig,1,JUNGLE,Team Liquid Academy,Grig_lol,griglol,elise player,,
Yusui,1,MID,Team Liquid Academy,YusuiLoL,yusui,,,
Rikara,1,ADC,Team Liquid Academy,Rikara,rikaralol,,,
Yama,1,SUPPORT,Team Liquid Academy,----------,----------,Yama2,,
Broken Blade,1,TOP,TSM,TSMBrokenBlade,tsm_brokenblade,Kral BB,BB Shmurda,
Dardoch,1,JUNGLE,TSM,Dardoch,dardoch,social distance6,,
Bjergsen,1,MID,TSM,Bjergsen,TSM_Bjergsen,TSM Bjergsen,,
Doublelift,1,ADC,TSM,TSMDoublelift,doublelift,Doublelift,,
Biofrost,1,SUPPORT,TSM,Biofrostlol,biofrostlol,TSM SIGHTSTONE,Biofrost,
Dhokla,1,TOP,TSM Academy,dhoklalol,dhoklalol,Dhokla,,
Spica,1,JUNGLE,TSM Academy,Spicalol,spicalol,TSM Spica,ASTROBOY99,TSM SEJUANI
Evolved,1,MID,TSM Academy,KatEvolvedlol,KatEvolved,KatEvolved,TSM EvoIved,
Lost,1,ADC,TSM Academy,Lost_adc,----------,,,
Treatz,1,SUPPORT,TSM Academy,TreatzLoL,TreatzLoL,TSM Treatz,,
